No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5,Total_Nominal_Meleset,Persentase_Simpangan (%)
001946/25/BIT,15125.0,1,1,15125.0,15125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580/26/01/148/VZ,255125.0,1,2,255125.0,247104.8586584326,0.0,8020.141341567413,0.0,0.0,0.0,0.0,0.0,0.0,8020.1413415674015,3.14
770/25/10/389/X,42625.0,1,2,42625.0,40705.25237856917,0.0,1919.7476214308338,0.0,0.0,0.0,0.0,0.0,0.0,1919.7476214308335,4.5
683/25/09/967/VZ,217625.0,1,2,217625.0,210495.39718867332,0.0,7129.602811326682,0.0,0.0,0.0,0.0,0.0,0.0,7129.602811326681,3.28
221/26/01/859/XR1,140125.0,2,2,10000.0,133746.54412370626,130125.0,6378.455876293753,0.0,0.0,0.0,0.0,0.0,0.0,123746.54412370626,88.31
395/25/09/770/VA,220125.0,1,1,220125.0,220125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290/26/01/534/X,80125.0,1,2,80125.0,73903.03246561892,0.0,6221.967534381082,0.0,0.0,0.0,0.0,0.0,0.0,6221.967534381081,7.77
003380/25/MKS,156250.0,1,1,156250.0,156250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026543/25/SBY,199250.0,1,1,199250.0,199250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102/25/10/787/X,342125.0,1,1,342125.0,342125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268/25/10/530/X,80125.0,1,2,80125.0,73903.03246561892,0.0,6221.967534381082,0.0,0.0,0.0,0.0,0.0,0.0,6221.967534381081,7.77
212/25/09/083/X,167625.0,1,2,167625.0,158151.00174048668,0.0,9473.99825951331,0.0,0.0,0.0,0.0,0.0,0.0,9473.998259513315,5.65
714/25/09/940/X,30125.0,1,2,30125.0,28999.471138068755,0.0,1125.528861931246,0.0,0.0,0.0,0.0,0.0,0.0,1125.5288619312455,3.74
000314/25/TRK,88000.0,1,1,88000.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036666/25/SBY,243000.0,1,2,243000.0,226756.85862144383,0.0,16243.141378556187,0.0,0.0,0.0,0.0,0.0,0.0,16243.141378556182,6.68
407/25/11/752/VA,142625.0,1,3,142625.0,127528.99861997356,0.0,12757.067392797157,0.0,2338.9339872292744,0.0,0.0,0.0,0.0,15096.001380026437,10.58
307/25/10/954/X,217625.0,1,2,217625.0,210495.39718867332,0.0,7129.602811326682,0.0,0.0,0.0,0.0,0.0,0.0,7129.602811326681,3.28
016/25/10/697/LI,147875.0,1,1,147875.0,147875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374/25/09/432/X,30125.0,1,2,30125.0,28999.471138068755,0.0,1125.528861931246,0.0,0.0,0.0,0.0,0.0,0.0,1125.5288619312455,3.74
043686/25/JKT,220250.0,1,1,220250.0,220250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040487/25/SBY,1381063.0,1,1,1381063.0,1381063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148/25/10/222/VA,530875.0,1,1,530875.0,530875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458/25/09/513/X,7340625.0,1,1,7340625.0,7340625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039165/25/SBY,527000.0,1,1,527000.0,527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776/25/11/518/X,5125.0,1,1,5125.0,5125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475/25/09/579/X,355125.0,1,2,355125.0,333289.3743046253,0.0,21835.62569537469,0.0,0.0,0.0,0.0,0.0,0.0,21835.625695374685,6.15
093/25/11/941/X,130125.0,1,2,130125.0,121246.85374733305,0.0,8878.146252666958,0.0,0.0,0.0,0.0,0.0,0.0,8878.146252666953,6.82
380/25/11/739/X,50125.0,1,2,50125.0,45917.92365483655,0.0,4207.07634516345,0.0,0.0,0.0,0.0,0.0,0.0,4207.076345163449,8.39
451/25/07/618/X,632625.0,1,1,632625.0,632625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635/25/10/111/X,1275625.0,1,1,1275625.0,1275625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114/26/01/798/VD,424000.0,1,2,424000.0,419487.7006922964,0.0,4512.299307703638,0.0,0.0,0.0,0.0,0.0,0.0,4512.29930770363,1.06
039154/25/SBY,316000.0,1,1,316000.0,316000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382/26/01/193/X,150125.0,1,2,150125.0,141844.76552330476,0.0,8280.234476695248,0.0,0.0,0.0,0.0,0.0,0.0,8280.234476695246,5.52
752/25/08/735/X,299375.0,1,1,299375.0,299375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220/25/12/656/VA,94000.0,1,1,94000.0,94000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182/25/10/753/X,258125.0,1,1,258125.0,258125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840/25/11/140/X,262625.0,1,1,262625.0,262625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
043113/25/SBY,987625.0,2,1,960250.0,987625.0,27375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27375.0,2.77
031/25/10/103/VN,553875.0,1,1,553875.0,553875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111/25/09/771/X,336625.0,1,1,336625.0,336625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291/25/10/869/LI,81875.0,1,1,81875.0,81875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225/25/12/329/VZ,155125.0,1,2,155125.0,151245.30762189275,0.0,3879.692378107266,0.0,0.0,0.0,0.0,0.0,0.0,3879.69237810726,2.5
001448/25/BLW,301638.0,1,1,301638.0,301638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484/25/12/960/X,580125.0,1,2,580125.0,572645.0468503488,0.0,7479.953149651189,0.0,0.0,0.0,0.0,0.0,0.0,7479.953149651183,1.29
591/25/10/670/VZ,556375.0,1,1,556375.0,556375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153/25/09/824/X,5125.0,1,1,5125.0,5125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
034613/25/SBY,285750.0,1,1,285750.0,285750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294/25/10/834/X,448125.0,1,2,448125.0,407002.7233877234,0.0,41122.2766122766,0.0,0.0,0.0,0.0,0.0,0.0,41122.276612276604,9.18
002502/26/SBY,228500.0,1,1,228500.0,228500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784/25/07/204/X,1231875.0,1,2,1231875.0,1153912.6888527316,0.0,77962.31114726845,0.0,0.0,0.0,0.0,0.0,0.0,77962.31114726842,6.33
259/25/12/936/X,25125.0,1,2,25125.0,23500.197070514187,0.0,1624.8029294858163,0.0,0.0,0.0,0.0,0.0,0.0,1624.8029294858147,6.47
047379/25/SBY,5442000.0,1,1,5442000.0,5442000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040930/25/SBY,294000.0,1,2,294000.0,282435.42181176314,0.0,11564.578188236927,0.0,0.0,0.0,0.0,0.0,0.0,11564.578188236894,3.93
043470/25/JKT,110125.0,1,1,110125.0,110125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405/26/01/663/VF,418125.0,1,1,418125.0,418125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928/26/01/095/X,5125.0,1,1,5125.0,5125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435/25/10/896/X,205125.0,1,2,205125.0,199146.5083435906,0.0,5978.491656409395,0.0,0.0,0.0,0.0,0.0,0.0,5978.491656409398,2.91
