No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5
036751/25/SBY,360563.0,1,1,360563.0,360563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
079/25/10/189/X,25125.0,1,2,25125.0,23762.333773273513,0.0,1362.666226726487,0.0,0.0,0.0,0.0,0.0,0.0
034744/25/JKT,93875.0,1,1,93875.0,93875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162/25/11/252/X,5125.0,1,1,5125.0,5125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
033016/25/JKT,188000.0,1,1,188000.0,188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885/25/11/058/VA,30125.0,2,2,5000.0,28964.57714690709,25125.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
433/25/09/838/X,70125.0,1,2,70125.0,59505.55930739039,0.0,10619.440692609627,0.0,0.0,0.0,0.0,0.0,0.0
099/25/12/325/X,310000.0,1,1,310000.0,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419/25/12/932/XXXI,55125.0,1,2,55125.0,52388.20095528232,0.0,2736.799044717676,0.0,0.0,0.0,0.0,0.0,0.0
540/25/09/434/XRM1,-7500.0,0,0,-7500.0,-7500.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
190/25/10/772/X,324375.0,1,2,305625.0,318815.5967950923,0.0,5559.403204907718,0.0,0.0,0.0,0.0,0.0,0.0
393/25/09/378/VZ,282625.0,1,3,282625.0,236716.68435725663,0.0,0.0,0.0,22954.157821371697,0.0,22954.157821371697,0.0,0.0
121/25/10/547/VA,392625.0,1,1,392625.0,392625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169/25/10/790/X,89875.0,1,1,89875.0,89875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653/25/09/679/XXXI,1655250.0,1,2,1655250.0,1136023.9590975544,0.0,519226.0409024456,0.0,0.0,0.0,0.0,0.0,0.0
